epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1018.21,0.81218,0.57854,1.07595,0.93785,0.91693,0.96598,0.82171,0.63987,0.45191,0.94253,0.00098353,0.00098353,0.00098353
43,1042.17,0.83145,0.5984,1.08655,0.96961,0.89717,0.97192,0.81982,0.66891,0.43019,0.96131,0.00096686,0.00096686,0.00096686
44,1066,0.80712,0.55727,1.0719,0.96479,0.94285,0.98384,0.8382,0.64368,0.38862,0.9405,0.00095019,0.00095019,0.00095019
45,1090.05,0.8209,0.57307,1.08586,0.94379,0.91062,0.97863,0.82258,0.6749,0.42247,0.96071,0.00093352,0.00093352,0.00093352
46,1113.84,0.81044,0.57521,1.07584,0.93021,0.91413,0.98029,0.84228,0.63781,0.4136,0.94377,0.00091685,0.00091685,0.00091685
47,1138.12,0.82113,0.56745,1.08211,0.9632,0.92836,0.9833,0.8359,0.64882,0.39658,0.94761,0.00090018,0.00090018,0.00090018
48,1162.18,0.81507,0.57189,1.08068,0.95847,0.91805,0.98449,0.84102,0.64785,0.39823,0.93985,0.00088351,0.00088351,0.00088351
49,1186.09,0.79093,0.55323,1.07294,0.95665,0.9467,0.98673,0.84548,0.63198,0.36852,0.93418,0.00086684,0.00086684,0.00086684
50,1209.89,0.81345,0.56559,1.08003,0.96117,0.9235,0.98282,0.82946,0.6463,0.38706,0.94427,0.00085017,0.00085017,0.00085017
51,1234.01,0.79204,0.55676,1.06681,0.94972,0.9379,0.98362,0.83458,0.62924,0.37944,0.93238,0.0008335,0.0008335,0.0008335
52,1258.05,0.79187,0.54318,1.07358,0.95748,0.94442,0.98435,0.84551,0.63999,0.38616,0.93324,0.00081683,0.00081683,0.00081683
53,1281.8,0.79578,0.54666,1.065,0.95378,0.91161,0.97127,0.82831,0.64811,0.41947,0.95028,0.00080016,0.00080016,0.00080016
54,1305.71,0.786,0.55078,1.06796,0.95354,0.9597,0.98668,0.84714,0.63075,0.3579,0.9301,0.00078349,0.00078349,0.00078349
55,1330.01,0.7757,0.54774,1.06745,0.91762,0.9518,0.98464,0.84748,0.63078,0.38505,0.93409,0.00076682,0.00076682,0.00076682
56,1354.07,0.78477,0.52943,1.06436,0.96171,0.96166,0.9872,0.85036,0.63006,0.34356,0.93859,0.00075015,0.00075015,0.00075015
57,1377.92,0.76711,0.52889,1.06044,0.97141,0.94936,0.98528,0.85489,0.60893,0.34474,0.9293,0.00073348,0.00073348,0.00073348
58,1401.91,0.78065,0.54873,1.06551,0.96372,0.91841,0.98472,0.84718,0.61244,0.37249,0.92374,0.00071681,0.00071681,0.00071681
59,1425.78,0.77426,0.5231,1.05948,0.95826,0.93617,0.98237,0.85225,0.60861,0.35619,0.91569,0.00070014,0.00070014,0.00070014
60,1449.7,0.77153,0.50812,1.06815,0.93747,0.96362,0.98604,0.85816,0.61934,0.35791,0.93403,0.00068347,0.00068347,0.00068347
61,1473.49,0.76254,0.51823,1.0511,0.9436,0.95745,0.98765,0.85511,0.61389,0.35763,0.92926,0.0006668,0.0006668,0.0006668
62,1497.54,0.76536,0.52301,1.06052,0.94426,0.95439,0.98548,0.85372,0.61216,0.34585,0.93872,0.00065013,0.00065013,0.00065013
63,1521.7,0.75834,0.51488,1.05453,0.96026,0.95085,0.98618,0.84681,0.61172,0.34451,0.9312,0.00063346,0.00063346,0.00063346
64,1545.78,0.76387,0.51812,1.05698,0.96701,0.91932,0.98807,0.85743,0.59874,0.35755,0.92576,0.00061679,0.00061679,0.00061679
65,1569.64,0.76207,0.52201,1.05497,0.96627,0.96137,0.98876,0.86172,0.59153,0.3414,0.91299,0.00060012,0.00060012,0.00060012
66,1593.74,0.75744,0.51805,1.0558,0.97219,0.9339,0.98764,0.86165,0.59761,0.33219,0.91955,0.00058345,0.00058345,0.00058345
67,1618.01,0.76309,0.50741,1.05928,0.95746,0.9455,0.987,0.85959,0.59658,0.34332,0.91321,0.00056678,0.00056678,0.00056678
68,1642.07,0.78131,0.51139,1.06257,0.96912,0.95177,0.98628,0.85552,0.59027,0.33566,0.90931,0.00055011,0.00055011,0.00055011
69,1665.87,0.75647,0.50166,1.0549,0.9322,0.96314,0.98709,0.86064,0.60573,0.35337,0.92006,0.00053344,0.00053344,0.00053344
70,1689.75,0.72704,0.49325,1.04187,0.94311,0.9759,0.98931,0.86083,0.60604,0.33068,0.92209,0.00051677,0.00051677,0.00051677
71,1713.69,0.75218,0.48476,1.04803,0.97226,0.94512,0.98757,0.85576,0.5961,0.32816,0.92576,0.0005001,0.0005001,0.0005001
72,1737.71,0.74126,0.49588,1.04695,0.96874,0.94163,0.98476,0.85779,0.60074,0.33525,0.9245,0.00048343,0.00048343,0.00048343
73,1761.47,0.73049,0.48832,1.03387,0.96818,0.95483,0.98768,0.85734,0.5896,0.34295,0.92039,0.00046676,0.00046676,0.00046676
74,1785.56,0.7305,0.48396,1.03711,0.96621,0.95866,0.98808,0.86195,0.59851,0.32407,0.91782,0.00045009,0.00045009,0.00045009
75,1809.64,0.7375,0.49177,1.04813,0.97151,0.95504,0.98863,0.87097,0.59301,0.32009,0.92569,0.00043342,0.00043342,0.00043342
76,1833.7,0.72232,0.47983,1.0329,0.97674,0.96355,0.99075,0.87197,0.58211,0.31058,0.92179,0.00041675,0.00041675,0.00041675
77,1857.58,0.70956,0.47807,1.02933,0.97383,0.96478,0.99135,0.87222,0.59003,0.30786,0.9235,0.00040008,0.00040008,0.00040008
78,1881.64,0.73373,0.47094,1.04306,0.97189,0.9672,0.98944,0.86764,0.58771,0.31381,0.91786,0.00038341,0.00038341,0.00038341
79,1905.75,0.72297,0.47426,1.03334,0.97355,0.96771,0.99129,0.86437,0.59526,0.30413,0.9203,0.00036674,0.00036674,0.00036674
80,1929.98,0.72838,0.47292,1.04078,0.97974,0.94491,0.99074,0.86108,0.59848,0.31383,0.92641,0.00035007,0.00035007,0.00035007
81,1953.74,0.73593,0.47285,1.04066,0.94436,0.9857,0.99216,0.86803,0.586,0.30164,0.91814,0.0003334,0.0003334,0.0003334
82,1977.85,0.7012,0.45072,1.0282,0.95062,0.98123,0.99152,0.8687,0.58528,0.29945,0.91796,0.00031673,0.00031673,0.00031673
83,2002,0.72742,0.47424,1.03607,0.96037,0.96613,0.99139,0.8612,0.59541,0.30612,0.92821,0.00030006,0.00030006,0.00030006
84,2026.07,0.71123,0.46347,1.03291,0.95112,0.97297,0.98986,0.86922,0.58278,0.30418,0.91799,0.00028339,0.00028339,0.00028339
85,2049.75,0.70192,0.45191,1.02517,0.96774,0.95213,0.98971,0.87307,0.58438,0.29328,0.91967,0.00026672,0.00026672,0.00026672
86,2073.8,0.70568,0.44772,1.02886,0.95575,0.96181,0.99025,0.87052,0.57283,0.30707,0.91251,0.00025005,0.00025005,0.00025005
87,2097.94,0.69345,0.4493,1.01874,0.94547,0.97838,0.99149,0.87445,0.57215,0.29469,0.91236,0.00023338,0.00023338,0.00023338
88,2122,0.69733,0.44935,1.02298,0.96321,0.95709,0.99148,0.872,0.58463,0.29976,0.91412,0.00021671,0.00021671,0.00021671
89,2145.74,0.69008,0.44083,1.01205,0.96764,0.95151,0.99058,0.87007,0.578,0.30198,0.91406,0.00020004,0.00020004,0.00020004
90,2170.32,0.52764,0.28631,0.93592,0.96154,0.95851,0.98673,0.86811,0.5738,0.30426,0.9133,0.00018337,0.00018337,0.00018337
91,2193.37,0.51671,0.28028,0.9265,0.96639,0.95545,0.98661,0.87052,0.57115,0.30182,0.91169,0.0001667,0.0001667,0.0001667
92,2216.54,0.51137,0.26839,0.93064,0.97165,0.94059,0.98922,0.87573,0.56803,0.29617,0.90583,0.00015003,0.00015003,0.00015003
93,2239.35,0.50643,0.27392,0.92673,0.96627,0.9582,0.99008,0.87777,0.56466,0.28741,0.90512,0.00013336,0.00013336,0.00013336
94,2262.29,0.50024,0.26136,0.91565,0.948,0.96987,0.9875,0.87308,0.57324,0.29477,0.9056,0.00011669,0.00011669,0.00011669
95,2285.23,0.4971,0.26331,0.91919,0.96489,0.95822,0.98736,0.87614,0.57038,0.29124,0.90523,0.00010002,0.00010002,0.00010002
96,2308.1,0.49632,0.25982,0.9174,0.95102,0.97248,0.9881,0.88114,0.56515,0.28448,0.90064,8.335e-05,8.335e-05,8.335e-05
97,2330.99,0.49237,0.25553,0.91915,0.95965,0.96174,0.98866,0.8793,0.56013,0.28153,0.89966,6.668e-05,6.668e-05,6.668e-05
98,2353.91,0.49059,0.25532,0.91937,0.96183,0.95672,0.98968,0.88237,0.55399,0.27945,0.89693,5.001e-05,5.001e-05,5.001e-05
99,2376.95,0.48805,0.24686,0.91239,0.948,0.97248,0.99058,0.88404,0.54891,0.27915,0.89404,3.334e-05,3.334e-05,3.334e-05
