epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3460.41,0.86369,0.67591,1.1673,0.94396,0.91908,0.97705,0.82681,0.65591,0.44205,0.97329,0.00098353,0.00098353,0.00098353
43,3542.77,0.86034,0.65243,1.16937,0.9393,0.91157,0.97891,0.8275,0.67602,0.46619,0.98089,0.00096686,0.00096686,0.00096686
44,3625.17,0.84606,0.64549,1.14989,0.93951,0.90063,0.97386,0.82631,0.67616,0.45264,0.97082,0.00095019,0.00095019,0.00095019
45,3706.95,0.83328,0.64479,1.13782,0.92245,0.92915,0.97571,0.8191,0.67934,0.4531,0.98074,0.00093352,0.00093352,0.00093352
46,3789.15,0.84818,0.62621,1.15795,0.91726,0.95393,0.98043,0.83028,0.65473,0.42544,0.97273,0.00091685,0.00091685,0.00091685
47,3871.51,0.83696,0.62558,1.15227,0.93872,0.93104,0.97934,0.82812,0.6672,0.41677,0.9818,0.00090018,0.00090018,0.00090018
48,3953.65,0.8226,0.61312,1.14689,0.92931,0.91935,0.97814,0.82752,0.67712,0.43969,0.97832,0.00088351,0.00088351,0.00088351
49,4035.69,0.82312,0.619,1.14093,0.93718,0.88691,0.96979,0.82001,0.65826,0.46576,0.96791,0.00086684,0.00086684,0.00086684
50,4117.64,0.82084,0.59326,1.13459,0.94628,0.92293,0.97692,0.83508,0.65096,0.42793,0.96588,0.00085017,0.00085017,0.00085017
51,4199.76,0.82153,0.61126,1.14018,0.95018,0.91643,0.97693,0.84058,0.63827,0.42378,0.96056,0.0008335,0.0008335,0.0008335
52,4282.3,0.81347,0.61822,1.13458,0.95287,0.91938,0.98299,0.84633,0.62111,0.39831,0.94939,0.00081683,0.00081683,0.00081683
53,4364.61,0.81416,0.59503,1.13714,0.94039,0.95739,0.98375,0.84437,0.63864,0.38661,0.95796,0.00080016,0.00080016,0.00080016
54,4446.77,0.81384,0.57574,1.12415,0.94655,0.90789,0.97632,0.82815,0.64827,0.42662,0.97281,0.00078349,0.00078349,0.00078349
55,4529.03,0.81053,0.58846,1.12493,0.94178,0.94445,0.98138,0.84186,0.63347,0.4008,0.96057,0.00076682,0.00076682,0.00076682
56,4611.18,0.80535,0.58786,1.12648,0.90945,0.95336,0.9807,0.83856,0.62806,0.41272,0.9527,0.00075015,0.00075015,0.00075015
57,4693.44,0.80888,0.59497,1.13351,0.95376,0.94953,0.98483,0.851,0.62608,0.38391,0.95157,0.00073348,0.00073348,0.00073348
58,4775.79,0.78115,0.55906,1.11371,0.92497,0.94491,0.98174,0.84293,0.63066,0.41203,0.95293,0.00071681,0.00071681,0.00071681
59,4857.65,0.79001,0.57097,1.12435,0.93982,0.93508,0.97937,0.84539,0.62467,0.40477,0.95258,0.00070014,0.00070014,0.00070014
60,4939.78,0.77772,0.56677,1.11361,0.91393,0.93029,0.98022,0.83611,0.64822,0.41823,0.96149,0.00068347,0.00068347,0.00068347
61,5021.79,0.78376,0.5682,1.11553,0.94639,0.94585,0.98676,0.85236,0.61744,0.37476,0.94371,0.0006668,0.0006668,0.0006668
62,5104.3,0.78251,0.58486,1.11234,0.97206,0.89502,0.98071,0.84373,0.63285,0.38543,0.95659,0.00065013,0.00065013,0.00065013
63,5186.52,0.7868,0.56929,1.11884,0.94672,0.93649,0.97878,0.8491,0.62391,0.39469,0.94901,0.00063346,0.00063346,0.00063346
64,5268.83,0.77698,0.55105,1.11081,0.94846,0.94971,0.98473,0.85044,0.62023,0.37349,0.94717,0.00061679,0.00061679,0.00061679
65,5350.85,0.77364,0.55546,1.11052,0.91425,0.94167,0.97903,0.83751,0.64399,0.44387,0.9589,0.00060012,0.00060012,0.00060012
66,5432.89,0.75422,0.54225,1.09136,0.91084,0.95341,0.98261,0.849,0.60449,0.39174,0.93779,0.00058345,0.00058345,0.00058345
67,5515.13,0.76712,0.55585,1.1115,0.94969,0.95696,0.98816,0.85533,0.60564,0.35578,0.9366,0.00056678,0.00056678,0.00056678
68,5597.66,0.75644,0.52797,1.0993,0.97375,0.94737,0.98957,0.85543,0.60867,0.33533,0.93342,0.00055011,0.00055011,0.00055011
69,5680.22,0.75651,0.53723,1.10184,0.93586,0.95736,0.98775,0.85608,0.60859,0.3553,0.93784,0.00053344,0.00053344,0.00053344
70,5762.66,0.75199,0.52279,1.09878,0.95465,0.95462,0.98595,0.85642,0.59982,0.3582,0.93281,0.00051677,0.00051677,0.00051677
71,5845.16,0.75299,0.52386,1.09834,0.95361,0.9299,0.98429,0.85512,0.59447,0.37586,0.93091,0.0005001,0.0005001,0.0005001
72,5927.12,0.74464,0.52255,1.09846,0.9571,0.94906,0.98775,0.86359,0.59451,0.35173,0.9334,0.00048343,0.00048343,0.00048343
73,6009.56,0.7583,0.54337,1.10313,0.96566,0.92595,0.98722,0.86245,0.5989,0.35054,0.93614,0.00046676,0.00046676,0.00046676
74,6091.77,0.74598,0.51259,1.08954,0.96093,0.94136,0.9876,0.85608,0.60628,0.35173,0.93269,0.00045009,0.00045009,0.00045009
75,6173.77,0.74093,0.51215,1.08829,0.96054,0.94496,0.98851,0.86043,0.5967,0.34107,0.92826,0.00043342,0.00043342,0.00043342
76,6255.91,0.72909,0.50782,1.08838,0.90615,0.97917,0.98772,0.85907,0.60679,0.35871,0.93107,0.00041675,0.00041675,0.00041675
77,6338.04,0.73265,0.50267,1.08915,0.97386,0.93266,0.98731,0.85849,0.58896,0.34057,0.92627,0.00040008,0.00040008,0.00040008
78,6420.05,0.72511,0.49977,1.08007,0.95175,0.96792,0.98922,0.86022,0.5898,0.32835,0.93353,0.00038341,0.00038341,0.00038341
79,6501.45,0.72821,0.50503,1.07585,0.94807,0.96119,0.98905,0.86361,0.59534,0.33204,0.92015,0.00036674,0.00036674,0.00036674
80,6583.33,0.73114,0.49709,1.08281,0.93572,0.95193,0.98749,0.86203,0.59309,0.34417,0.92891,0.00035007,0.00035007,0.00035007
81,6665.29,0.71672,0.48924,1.06991,0.97167,0.94381,0.98873,0.86074,0.6088,0.32575,0.92629,0.0003334,0.0003334,0.0003334
82,6746.87,0.73057,0.49066,1.08221,0.95094,0.95876,0.98972,0.86391,0.58209,0.32337,0.92404,0.00031673,0.00031673,0.00031673
83,6828.8,0.72316,0.48777,1.07698,0.93993,0.95781,0.98942,0.86193,0.59491,0.3357,0.92795,0.00030006,0.00030006,0.00030006
