epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1634.92,0.68955,0.42776,1.00381,0.96346,0.95456,0.99118,0.8506,0.6484,0.36279,0.95223,0.00098353,0.00098353,0.00098353
43,1672.77,0.69562,0.43075,1.00381,0.92233,0.96921,0.98673,0.85577,0.63066,0.37675,0.93798,0.00096686,0.00096686,0.00096686
44,1710.9,0.67775,0.41148,0.99972,0.97921,0.93382,0.98888,0.85102,0.63159,0.33708,0.94112,0.00095019,0.00095019,0.00095019
45,1749.51,0.68928,0.42876,1.01271,0.92901,0.9426,0.98399,0.85334,0.63522,0.38816,0.94874,0.00093352,0.00093352,0.00093352
46,1787.35,0.69105,0.42826,1.00187,0.97312,0.95098,0.99095,0.85295,0.62509,0.35343,0.94118,0.00091685,0.00091685,0.00091685
47,1825.37,0.68228,0.42192,0.99731,0.96065,0.95916,0.98539,0.85084,0.645,0.35876,0.94506,0.00090018,0.00090018,0.00090018
48,1863.68,0.67242,0.41647,0.99401,0.9634,0.96962,0.9883,0.86226,0.61724,0.33479,0.92858,0.00088351,0.00088351,0.00088351
49,1901.97,0.68831,0.41637,1.0082,0.92803,0.92247,0.97579,0.83878,0.65813,0.4593,0.9501,0.00086684,0.00086684,0.00086684
50,1940.38,0.67353,0.41795,0.99736,0.9725,0.97119,0.99046,0.85791,0.62271,0.34297,0.93979,0.00085017,0.00085017,0.00085017
51,1979.11,0.66421,0.41478,0.99293,0.94342,0.93224,0.98632,0.84984,0.63743,0.38929,0.94456,0.0008335,0.0008335,0.0008335
52,2017.47,0.65791,0.39051,0.9879,0.9625,0.95796,0.99009,0.86361,0.61777,0.33864,0.92414,0.00081683,0.00081683,0.00081683
53,2056.16,0.67287,0.40131,0.99003,0.93025,0.96963,0.98945,0.86057,0.61281,0.35261,0.9343,0.00080016,0.00080016,0.00080016
