epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1655.29,0.83,0.5986,1.09703,0.95627,0.93827,0.98582,0.83107,0.64988,0.38569,0.95918,0.00098353,0.00098353,0.00098353
43,1694.62,0.82905,0.59052,1.09674,0.94134,0.97884,0.98801,0.83931,0.64576,0.38394,0.94648,0.00096686,0.00096686,0.00096686
44,1733.88,0.82593,0.59669,1.08546,0.96178,0.91382,0.98321,0.84527,0.66531,0.40761,0.96072,0.00095019,0.00095019,0.00095019
45,1773.49,0.81828,0.58165,1.08419,0.95474,0.95047,0.97966,0.82952,0.66874,0.40509,0.97832,0.00093352,0.00093352,0.00093352
46,1812.74,0.82282,0.57615,1.08868,0.95699,0.93515,0.98085,0.82805,0.67399,0.41592,0.97819,0.00091685,0.00091685,0.00091685
47,1851.97,0.81815,0.57175,1.08262,0.9514,0.94598,0.98443,0.8352,0.66103,0.38978,0.97029,0.00090018,0.00090018,0.00090018
48,1891.08,0.79541,0.56014,1.07759,0.93055,0.96118,0.98387,0.83632,0.66906,0.40375,0.97171,0.00088351,0.00088351,0.00088351
49,1930.37,0.80268,0.56046,1.07478,0.9379,0.93519,0.98282,0.83096,0.65774,0.41432,0.97179,0.00086684,0.00086684,0.00086684
50,1969.6,0.79025,0.54188,1.06837,0.97057,0.95039,0.98111,0.84129,0.64771,0.3745,0.95919,0.00085017,0.00085017,0.00085017
51,2008.75,0.80071,0.56199,1.08008,0.93539,0.95429,0.98176,0.83775,0.63722,0.40163,0.95119,0.0008335,0.0008335,0.0008335
52,2047.99,0.79953,0.55965,1.07403,0.94248,0.95976,0.98155,0.83892,0.64481,0.38077,0.94969,0.00081683,0.00081683,0.00081683
53,2087.5,0.7919,0.55449,1.07354,0.95779,0.94441,0.98149,0.8455,0.64364,0.37946,0.95561,0.00080016,0.00080016,0.00080016
54,2126.8,0.79319,0.54528,1.07194,0.95607,0.93658,0.98589,0.845,0.63585,0.37217,0.95927,0.00078349,0.00078349,0.00078349
55,2166,0.78631,0.53227,1.06729,0.95574,0.9543,0.98695,0.84595,0.63692,0.35783,0.94949,0.00076682,0.00076682,0.00076682
